id,label,available,residence_label,residence_address,residence_city,residence_postal_code,sector_label,lat,lon,area_min,area_max,rent_min,rent_max,occupation_type,adapted_pmr,high_demand,low_stock,url
2213,T2,False,Le Trident,3/5 voie Felix Eboue 94000 CRETEIL,CRETEIL,94000,CRETEIL,48.797,2.45,18.9,18.9,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/2213
2227,T1 Bis POTTIER (Colocation),False,Saint Denis - Eugene Pottier,12 rue Eugene Pottier 93200 Saint-Denis,Saint-Denis,93200,SEINE-SAINT-DENIS_93,48.949,2.355,14.385,15.115,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/2227
2233,APT3,False,XXXX REUILLY,"20 bis rue de reuilly , 75012 Paris",Paris,75012,Paris,48.848,2.386,42.0,48.0,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/2233
2236,T2 (Colocation),False,Le Trident,3/5 voie Felix Eboue 94000 CRETEIL,CRETEIL,94000,CRETEIL,48.797,2.45,18.9,18.9,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/2236
2329,MOUZAIA T1,False,MOUZAIA,58 - 60 BIS RUE MOUZAIA PARIS 75019,,75019,Paris,48.88,2.398,14.0,33.1,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/2329
2396,REUILLY T1 BIS,False,REUILLY,2 passage Marie Rogissart 75012 Paris,Paris,75012,Paris,48.848,2.386,26.39,28.62,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/2396
2402,T1,False,Campus,23 avenue de la Convention 93000 BOBIGNY,BOBIGNY,93000,SEINE-SAINT-DENIS_93,48.917,2.418,18.97,20.81,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/2402
2419,T1 G,False,Campus,23 avenue de la Convention 93000 BOBIGNY,BOBIGNY,93000,SEINE-SAINT-DENIS_93,48.917,2.418,22.03,30.03,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/2419
2439,T2,False,Campus,23 avenue de la Convention 93000 BOBIGNY,BOBIGNY,93000,SEINE-SAINT-DENIS_93,48.917,2.418,38.62,40.3,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/2439
2456,T3 Colocation,False,Orsay-Ulis,"15, rue le Bosquet 91940 les ULIS",les ULIS,91940,ORSAY,48.68,2.165,0.0,0.0,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/2456
2468,T1 Couple,False,Campus,23 avenue de la Convention 93000 BOBIGNY,BOBIGNY,93000,SEINE-SAINT-DENIS_93,48.917,2.418,35.1,36.05,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/2468
2482,T2 (Colocation),False,Cachan,62/78 rue Camille Desmoulins 94230 Cachan,Cachan,94230,CACHAN,48.791,2.332,14.75,14.75,0.0,0.0,,False,False,False,https://trouverunlogement.lescrous.fr/tools/42/accommodations/2482
